ALL,,Air Arabia for Air Transport - Libyan Arab Jamahiriya,Arabia Avia
ALM,,Alfa Air - Morocco,
ALN,,Alkan Air - Egypt,Alkan Aviation
ALP,,"Allpoints Jet Co., Ltd. - China",Allpoints
ALR,,Alborz Air - Iran,Alborz
ALX,,Alpi Jets GmbH - Austria,Alpijets
ALZ,,Azure Aviation Ltd. - Bahamas,Azure
AMB,,DRF - Stiftung Luftrettung Gemeinnuetzige AG - Germany,Civil Air Ambulance
AME,,Aeronave Militar Espanola. Ministerio de Defensa (Spanish Air Force) - Spain,AME
AMF,,"Ameriflight, LLC - United States of America",Amflight
AMH,,Air Macran - Iran,Macran
AMI,,"Air America, Inc. - Puerto Rico",Airmek
AMJ,,Amjet Executive S.A. - Greece,Amjet Exec
AMK,,AMAC Corporate Jet AG - Switzerland,AMAC
AMN,,Air Montenegro - Yugoslavia,Montenegro
AMO,,Angel Martinez Ridao (SAETA) - Spain,
AMP,4A,Aero Transporte S.A. (ATSA) - Peru,Atsa
AMQ,,AMC Aviation SP z.o.o. - Poland,Amex
AMR,,Air Specialties Corporation d/b/a Air American / Total Air - United States of America,Air Am
AMS,,Air Muskoka - Canada,Air Muskoka
AMT,,Air Mountain - Switzerland,Air Mountain
AMU,NX,Air Macau Company Limited - Macau,Air Macau
AMV,,Aircraft Maintenance Company (AMC Airlines) - Egypt,AMC Airlines
AMW,6A,Armenia Airways Air company CJSC - Armenia,
AMX,AM,Aerovias de Mexico S.A. de C.V. d/b/a Aeromexico - Mexico,Aeromexico
AMZ,,Amiyi Airline Limited - Nigeria,Amiyi Air
ANA,NH,All Nippon Airways Co. Ltd. - Japan,All Nippon
ANB,,Air Navigation And Trading Co. Ltd. - United Kingdom,Air Nav
AND,,Servicios Aereos de Los Andes S.A.C. - Peru,Servi Andes
ANE,YW,"Air Nostrum Lineas Aereas del Mediterraneo, S.A. - Spain",Air Nostrum
ANG,PX,Air Niugini Pty Limited d/b/a Air Niugini - Papua New Guinea,Niugini
ANH,,Alajnihah Air Transport - Libyan Arab Jamahiriya,Alajnihah
ANI,,Air Atlantic (Nig) Limited - Nigeria,Nigalantic
ANK,KA,"Aero Nomad Airlines, LLC - Kyrgyzstan",Aero Nomad
ANL,,Nacoia Lda - Angola,Air Nicoia
ANM,,"Antares Airtransport, Maintenance & Service GmbH - Germany",Antares
ANO,TL*,Capiteq Limited d/b/a Airnorth - Australia,Topend
ANQ,,"Aerolinea de Antioquia, S.A. (ADA) - Colombia",Antioquia
ANR,YE,Yan Air Ltd. - Ukraine,Yanair
ANS,O4,Andes Lineas Aereas S.A. - Argentina,Aeroandes
ANT,4N,Air North Charter and Training Ltd. t/a Air North - Canada,Air North
ANV,,Nestoil Limited - Nigeria,Nestav
ANW,,Fly Me (Pty) Ltd. - South Africa,Angel Wings
ANZ,NZ,Air New Zealand Limited - New Zealand,New Zealand
AOA,,Air Ocean Airlines LLC - Ukraine,Air Ocean
AOB,,"Aerocaribe Cord, С.А. - Venezuela",???ib? Cord
AOC,,Air Eclipse International S.r.l. - San Marino,Aramis
AOD,,Aero Vodochody - Czech Republic,Aero Czech
AOF,,Atair Pty Ltd. - South Africa,Atair
AOI,,Astoria Inc. - Canada,Astoria
AOJ,,Avcon Jet AG - Austria,Asterix
AOM,,Air Ocena Maroc Aviation Group - Morocco,Ocean Maroc
AON,,Aero Entreprise - France,Aero Enterprose
AOO,,Trebet Aviation Limited - Nigeria,Trebet Aviation
AOP,,"Aerospecservice, Aircompany - Russian Federation",
AOR,,Afro International Ent. Limited - Nigeria,Inter-Afro
AOS,,Aeros Limited t/a Aeros Flight Training - United Kingdom,Aeros
AOU,,Air Tractor d.o.o. - Croatia,Air Tractor
AOV,,Aero Vision - France,Aerovision
AOW,,Air Andaman Corporation Limited - Thailand,Air Andaman
AOX,,Aerotaxi Del Valle - Colombia,Aerovalle
APA,,Air Park Aviation Ltd. - Canada,Can-Am
APC,,"Airpac Airlines, Inc. - United States of America",Airpac
APE,,Parcel Express - United States of America,Air Parcel
APF,HP,Amapola Flyg AB d/b/a PopulAir - Sweden,Amapola
APG,Z2,Philippines AirAsia Inc. t/a AirAsia Philippines - Philippines,Cool Red
APH,,"Alpha Aviation, Inc. - United States of America",Airflight
API,,"ASA Pesada, Lda. - Angola",Asa Pesada
APJ,MM,Peach Aviation Limited - Japan,Air Peach
APK,P4,Air Peace Limited - Nigeria,Peace Bird
APL,,"Corporativo Aero Principal, S.A. de C.V. - Mexico",Aero Principal
APN,,Alpine Airlines - France,Air Alpes
APP,,Alpavia d.o.o. - Slovenia,Alpavia
APR,,Air Polonia Cargo Ltd. - Poland,AP Cargo
APS,,"Aerotransporte Peruanos Internacionales, S.A. - Peru",Apisa
APU,,Transporte Aereo Expreso Moche S.A.C. - Peru,Apuka
